time,reference,position,measured_distance,error,velocity_control
0,-50,115,-94,0,0,
0.02,-50,115,-96,0,0,
0.04,-50,115,-93,0,0,
0.06,-50,115.01,-93,0,0,
0.08,-50,115.14,-93,0,0,
0.1,-50,115.32,-90,0,0,
0.12,-50,116.3,-94,0,0,
0.14,-50,117.03,-93,0,0,
0.16,-50,119.09,-91,0,0,
0.18,-50,120.37,-89,0,0,
0.2,-50,123.75,-87,0,0,
0.22,-50,125.26,-85,0,0,
0.24,-50,128.26,-84,0,0,
0.26,-50,130.19,-83,0,0,
0.28,-50,132.99,-77,0,0,
0.3,-50,134.33,-77,0,0,
0.32,-50,137.29,-74,0,0,
0.34,-50,138.49,-73,0,0,
0.36,-50,140.73,-71,0,0,
0.38,-50,141.79,-68,0,0,
0.4,-50,144.06,-68,0,0,
0.42,-50,144.95,-65,0,0,
0.44,-50,146.58,-64,0,0,
0.46,-50,147.57,-60,0,0,
0.48,-50,148.9,-61,0,0,
0.5,-50,149.5,-63,0,0,
0.52,-50,150.77,-61,0,0,
0.54,-50,151.25,-58,0,0,
0.56,-50,152.11,-58,0,0,
0.58,-50,152.49,-56,0,0,
0.6,-50,153.3,-54,0,0,
0.62,-50,153.61,-59,0,0,
0.64,-50,154.2,-55,0,0,
0.66,-50,154.48,-54,0,0,
0.68,-50,155.05,-55,0,0,
0.7,-50,155.27,-54,0,0,
0.72,-50,155.66,-51,0,0,
0.74,-50,155.89,-53,0,0,
0.76,-50,156.2,-51,0,0,
0.78,-50,156.34,-52,0,0,
0.8,-50,156.65,-52,0,0,
0.82,-50,156.76,-50,0,0,
0.84,-50,156.94,-51,0,0,
0.86,-50,157.02,-52,0,0,
0.88,-50,157.15,-52,0,0,
0.9,-50,157.2,-52,0,0,
0.92,-50,157.27,-50,0,0,
0.94,-50,157.3,-52,0,0,
0.96,-50,157.35,-51,0,0,
0.98,-50,157.38,-50,0,0,
1,-50,157.46,-51,0,0,
1.02,-50,157.5,-50,0,0,
1.04,-50,157.58,-54,0,0,
1.06,-50,157.62,-49,0,0,
1.08,-50,157.7,-50,0,0,
1.1,-50,157.73,-49,0,0,
1.12,-50,157.77,-48,0,0,
1.14,-50,157.8,-49,0,0,
1.16,-50,157.83,-50,0,0,
1.18,-50,157.84,-52,0,0,
1.2,-50,157.86,-53,0,0,
1.22,-50,157.85,-51,0,0,
1.24,-50,157.81,-49,0,0,
1.26,-50,157.78,-47,0,0,
1.28,-50,157.74,-51,0,0,
1.3,-50,157.73,-49,0,0,
1.32,-50,157.75,-51,0,0,
1.34,-50,157.78,-51,0,0,
1.36,-50,157.82,-53,0,0,
1.38,-50,157.82,-51,0,0,
1.4,-50,157.8,-51,0,0,
1.42,-50,157.78,-50,0,0,
1.44,-50,157.76,-50,0,0,
1.46,-50,157.76,-52,0,0,
1.48,-50,157.81,-51,0,0,
1.5,-50,157.85,-52,0,0,
1.52,-50,157.93,-49,0,0,
1.54,-50,157.98,-50,0,0,
1.56,-50,158.05,-50,0,0,
