time,reference,position,measured_distance,error,velocity_control
0,-50,115,-67,17,27.768,
0.02,-50,115,-66,16,37.333,
0.04,-50,115,-68,18,43.383,
0.06,-50,115.01,-66,16,41.33,
0.08,-50,115.06,-68,18,42.559,
0.1,-50,115.13,-67,17,40.535,
0.12,-50,115.5,-66,16,37.333,
0.14,-50,115.78,-65,15,33.887,
0.16,-50,116.57,-63,13,28.938,
0.18,-50,117.24,-64,14,28.477,
0.2,-50,118.37,-65,15,30.037,
0.22,-50,118.97,-63,13,27.507,
0.24,-50,120.32,-62,12,24.879,
0.26,-50,120.87,-60,10,20.67,
0.28,-50,121.91,-60,10,19.168,
0.3,-50,122.4,-60,10,18.881,
0.32,-50,123.45,-56,6,12.544,
0.34,-50,123.88,-60,10,16.782,
0.36,-50,124.68,-56,6,12.409,
0.38,-50,125.17,-55,5,9.2088,
0.4,-50,125.84,-55,5,8.2435,
0.42,-50,126.15,-57,7,11.504,
0.44,-50,126.8,-55,5,9.8951,
0.46,-50,127.04,-53,3,6.1261,
0.48,-50,127.49,-52,2,3.1519,
0.5,-50,127.69,-56,6,8.7747,
0.52,-50,128.1,-54,4,8.1205,
0.54,-50,128.26,-55,5,9.5474,
0.56,-50,128.55,-51,1,3.6603,
0.58,-50,128.73,-51,1,1.2873,
0.6,-50,128.97,-50,0,-1.0742,
0.62,-50,129.09,-53,3,3.1477,
0.64,-50,129.35,-51,1,1.8934,
0.66,-50,129.46,-49,-1,-1.7959,
0.68,-50,129.65,-51,1,0.098075,
0.7,-50,129.72,-50,0,-0.53712,
0.72,-50,129.86,-52,2,2.5869,
0.74,-50,129.89,-48,-2,-2.5718,
0.76,-50,129.94,-50,0,-1.4148,
0.78,-50,129.96,-52,2,2.4949,
0.8,-50,129.97,-52,2,4.1674,
0.82,-50,129.97,-49,-1,-0.13339,
0.84,-50,129.95,-50,0,-0.359,
0.86,-50,129.95,-49,-1,-2.0162,
0.88,-50,129.94,-51,1,0.64456,
0.9,-50,129.94,-51,1,1.8314,
0.92,-50,129.96,-49,-1,-0.96913,
0.94,-50,129.97,-51,1,1.1125,
0.96,-50,129.98,-50,0,0.38253,
0.98,-50,129.98,-51,1,1.6919,
1,-50,129.99,-50,0,0.59129,
1.02,-50,129.99,-52,2,3.3673,
1.04,-50,130,-48,-2,-2.0416,
1.06,-50,130.01,-51,1,0.5739,
1.08,-50,130.04,-50,0,0.12234,
1.1,-50,130.05,-50,0,-0.059801,
1.12,-50,130.1,-50,0,-0.1158,
1.14,-50,130.12,-50,0,-0.11743,
1.16,-50,130.16,-50,0,-0.099232,
1.18,-50,130.18,-50,0,-0.076803,
1.2,-50,130.2,-50,0,-0.056439,
1.22,-50,130.21,-49,-1,-1.6735,
1.24,-50,130.21,-48,-2,-3.9533,
1.26,-50,130.21,-50,0,-1.5389,
1.28,-50,130.21,-49,-1,-2.0569,
1.3,-50,130.2,-50,0,-0.6129,
1.32,-50,130.19,-52,2,3.2718,
1.34,-50,130.17,-50,0,1.5441,
1.36,-50,130.14,-51,1,2.3085,
1.38,-50,130.11,-49,-1,-0.7204,
1.4,-50,130.07,-51,1,1.2392,
1.42,-50,130.05,-51,1,2.0784,
1.44,-50,130.04,-52,2,4.0135,
1.46,-50,130.05,-53,3,6.3655,
1.48,-50,130.07,-52,2,5.5565,
1.5,-50,130.09,-53,3,6.6738,
1.52,-50,130.14,-56,6,11.905,
1.54,-50,130.16,-59,9,18.776,
1.56,-50,130.24,-58,8,19.6,
1.58,-50,130.31,-61,11,24.318,
1.6,-50,130.47,-64,14,30.678,
1.62,-50,130.57,-63,13,31.075,
1.64,-50,130.9,-68,18,38.73,
1.66,-50,131.09,-70,20,44.533,
1.68,-50,131.58,-71,21,47.771,
1.7,-50,131.87,-73,23,51.534,
1.72,-50,132.7,-74,24,53.914,
1.74,-50,133.13,-77,27,59.015,
1.76,-50,134.09,-81,31,66.908,
1.78,-50,134.84,-84,34,74.239,
1.8,-50,136.09,-84,34,76.29,
1.82,-50,136.79,-87,37,81.013,
1.84,-50,138.57,-87,37,82.037,
1.86,-50,139.4,-91,41,88.1,
1.88,-50,141.2,-94,44,94.702,
1.9,-50,142.18,-96,46,99.804,
1.92,-50,144.64,-98,48,104.21,
1.94,-50,145.76,-99,49,106.7,
1.96,-50,148.14,-101,51,110.06,
1.98,-50,149.82,-106,56,118.76,
2,-50,152.48,-106,56,121.49,
2.02,-50,153.87,-107,57,123.26,
2.04,-50,157.29,-109,59,126.37,
2.06,-50,158.83,-110,60,128.5,
2.08,-50,162.03,-114,64,135.16,
2.1,-50,163.69,-114,64,137.19,
2.12,-50,167.72,-112,62,133.95,
2.14,-50,169.51,-112,62,131.94,
2.16,-50,173.18,-115,65,135.6,
2.18,-50,175.7,-113,63,133.54,
2.2,-50,179.57,-110,60,127.45,
2.22,-50,181.54,-110,60,124.79,
2.24,-50,186.19,-110,60,123.79,
2.26,-50,188.2,-102,52,110.48,
2.28,-50,192.21,-101,51,103.65,
2.3,-50,194.2,-98,48,96.638,
2.32,-50,198.78,-96,46,91.326,
2.34,-50,200.7,-92,42,0,
2.36,-50,204.43,-88,38,0,
2.38,-50,206.8,-86,36,0,
2.4,-50,210.1,-84,34,0,
2.42,-50,211.58,-80,30,0,
2.44,-50,214.42,-79,29,0,
2.46,-50,215.31,-76,26,0,
2.48,-50,216.5,-74,24,0,
2.5,-50,216.83,-76,26,0,
2.52,-50,217.17,-75,25,0,
2.54,-50,217.2,-73,23,0,
2.56,-50,217.21,-77,27,0,
2.58,-50,217.21,-76,26,0,
2.6,-50,217.21,-74,24,0,
2.62,-50,217.21,-75,25,0,
2.64,-50,217.21,-74,24,0,
2.66,-50,217.21,-76,26,0,
2.68,-50,217.21,-75,25,0,
2.7,-50,217.21,-74,24,0,
2.72,-50,217.21,-75,25,0,
2.74,-50,217.21,-73,23,0,
2.76,-50,217.21,-75,25,0,
2.78,-50,217.21,-75,25,0,
2.8,-50,217.21,-75,25,0,
2.82,-50,217.21,-72,22,0,
2.84,-50,217.21,-73,23,0,
2.86,-50,217.21,-72,22,0,
2.88,-50,217.21,-70,20,0,
2.9,-50,217.21,-69,19,0,
2.92,-50,217.21,-66,16,0,
2.94,-50,217.21,-65,15,0,
2.96,-50,217.21,-64,14,0,
2.98,-50,217.21,-57,7,0,
3,-50,217.21,-58,8,0,
3.02,-50,217.21,-57,7,0,
3.04,-50,217.21,-53,3,0,
3.06,-50,217.21,-51,1,-1.6407,
3.08,-50,217.21,-48,-2,-7.8039,
3.1,-50,217.21,-46,-4,-12.705,
3.12,-50,217.21,-47,-3,-12.131,
3.14,-50,217.2,-44,-6,-15.88,
3.16,-50,217.19,-42,-8,-19.948,
3.18,-50,217.17,-40,-10,-24.144,
3.2,-50,217.08,-37,-13,-30.013,
3.22,-50,217,-37,-13,-31.64,
3.24,-50,216.9,-34,-16,-36.381,
3.26,-50,216.53,-37,-13,-32.679,
3.28,-50,216.32,-33,-17,-36.969,
3.3,-50,216.07,-33,-17,-38.243,
3.32,-50,215.45,-32,-18,-39.862,
3.34,-50,214.96,-33,-17,-38.41,
3.36,-50,214.54,-29,-21,-43.921,
3.38,-50,213.62,-28,-22,-47.484,
3.4,-50,213.12,-31,-19,-43.575,
3.42,-50,212.42,-32,-18,-39.872,
3.44,-50,211.31,-30,-20,-41.403,
3.46,-50,210.73,-29,-21,-43.605,
3.48,-50,210.14,-29,-21,-44.394,
3.5,-50,208.71,-29,-21,-44.549,
3.52,-50,208.08,-30,-20,-42.816,
3.54,-50,207.45,-31,-19,-40.35,
3.56,-50,205.95,-31,-19,-39.316,
3.58,-50,205.31,-31,-19,-38.962,
3.6,-50,204.67,-31,-19,-38.91,
3.62,-50,203.39,-29,-21,-42.242,
3.64,-50,202.53,-30,-20,-42.023,
3.66,-50,201.89,-30,-20,-41.862,
3.68,-50,200.64,-31,-19,-40.114,
3.7,-50,200.02,-31,-19,-39.376,
3.72,-50,199.2,-32,-18,-37.486,
3.74,-50,197.99,-32,-18,-36.785,
3.76,-50,197.39,-29,-21,-41.525,
3.78,-50,196.78,-32,-18,-38.66,
3.8,-50,195.36,-33,-17,-35.787,
3.82,-50,194.75,-31,-19,-37.939,
3.84,-50,194.15,-31,-19,-38.953,
3.86,-50,192.76,-32,-18,-37.761,
3.88,-50,192.18,-31,-19,-38.901,
3.9,-50,191.6,-33,-17,-36.13,
3.92,-50,190.45,-31,-19,-38.263,
3.94,-50,189.68,-29,-21,-42.485,
3.96,-50,189.11,-30,-20,-42.548,
3.98,-50,187.96,-31,-19,-40.771,
4,-50,187.39,-32,-18,-38.283,
4.02,-50,186.63,-31,-19,-38.873,
4.04,-50,185.47,-33,-17,-35.909,
4.06,-50,184.89,-30,-20,-39.641,
4.08,-50,184.31,-31,-19,-39.65,
4.1,-50,182.92,-32,-18,-37.986,
4.12,-50,182.32,-31,-19,-38.919,
4.14,-50,181.72,-31,-19,-39.338,
4.16,-50,180.33,-31,-19,-39.504,
4.18,-50,179.75,-30,-20,-41.185,
4.2,-50,179.16,-30,-20,-41.843,
4.22,-50,178,-29,-21,-43.659,
4.24,-50,177.22,-32,-18,-39.401,
4.26,-50,176.63,-28,-22,-44.075,
4.28,-50,175.45,-29,-21,-44.377,
4.3,-50,174.85,-31,-19,-41.093,
4.32,-50,174.25,-27,-23,-46.178,
4.34,-50,172.82,-28,-22,-46.625,
4.36,-50,172.2,-27,-23,-48.265,
4.38,-50,171.57,-26,-24,-50.404,
4.4,-50,170.07,-28,-22,-47.812,
4.42,-50,169.42,-26,-24,-49.801,
