time,reference,position,measured_distance,error,velocity_control
0,-50,115,-83,33,53.902
0.02,-50,115,-81,31,72.374
0.04,-50,115,-81,31,77.738
0.06,-50,115.04,-82,32,79.159
0.08,-50,115.14,-83,33,79.265
0.1,-50,115.53,-82,32,75.945
0.12,-50,115.89,-81,31,71.592
0.14,-50,117.27,-82,32,70.497
0.16,-50,118.09,-80,30,66.183
0.18,-50,120.04,-77,27,59.103
0.2,-50,121.13,-76,26,54.43
0.22,-50,123.75,-74,24,49.406
0.24,-50,124.87,-72,22,44.395
0.26,-50,127.04,-70,20,39.527
0.28,-50,128.43,-70,20,38.091
0.3,-50,130.37,-68,18,34.855
0.32,-50,131.28,-67,17,32.456
0.34,-50,133.23,-65,15,28.779
0.36,-50,133.99,-63,13,24.564
0.38,-50,135.39,-65,15,26.7
0.4,-50,136.03,-62,12,23.278
0.42,-50,137.39,-60,10,19.04
0.44,-50,137.92,-61,11,19.422
0.46,-50,138.91,-60,10,18.471
0.48,-50,139.51,-57,7,13.594
0.5,-50,140.33,-60,10,16.888
0.52,-50,140.71,-53,3,7.2585
0.54,-50,141.52,-54,4,5.2602
0.56,-50,141.84,-55,5,6.6609
0.58,-50,142.42,-53,3,4.4929
0.6,-50,142.69,-52,2,2.3564
0.62,-50,143.21,-55,5,6.7746
0.64,-50,143.4,-54,4,7.3081
0.66,-50,143.71,-52,2,4.3924
0.68,-50,143.87,-53,3,4.9375
0.7,-50,144.07,-53,3,5.3399
0.72,-50,144.15,-52,2,3.9932
0.74,-50,144.33,-52,2,3.5336
0.76,-50,144.4,-51,1,1.8336
0.78,-50,144.56,-51,1,1.2602
0.8,-50,144.64,-51,1,1.1843
0.82,-50,144.81,-52,2,2.9329
0.84,-50,144.88,-52,2,3.7573
0.86,-50,145,-51,1,2.4836
0.88,-50,145.07,-54,4,6.86
0.9,-50,145.15,-48,-2,-1.1342
0.92,-50,145.18,-50,0,-1.228
0.94,-50,145.26,-51,1,0.56812
0.96,-50,145.3,-52,2,3.0893
0.98,-50,145.39,-51,1,2.5334
1,-50,145.43,-53,3,5.5268
1.02,-50,145.53,-49,-1,0.18272
1.04,-50,145.56,-51,1,1.1644
1.06,-50,145.61,-53,3,4.9303
1.08,-50,145.65,-49,-1,-0.040174
1.1,-50,145.71,-50,0,-0.52179
1.12,-50,145.75,-52,2,2.6551
1.14,-50,145.85,-51,1,2.4047
1.16,-50,145.89,-52,2,3.8953
1.18,-50,145.96,-51,1,2.8394
1.2,-50,145.99,-51,1,2.337
1.22,-50,146.05,-51,1,2.1143
1.24,-50,146.08,-53,3,5.2947
1.26,-50,146.14,-51,1,3.3219
1.28,-50,146.19,-48,-2,-2.4879
1.3,-50,146.27,-51,1,0.054667
1.32,-50,146.32,-53,3,4.5601
1.34,-50,146.41,-50,0,1.5485
1.36,-50,146.46,-48,-2,-3.0503
1.38,-50,146.54,-51,1,0.01828
1.4,-50,146.57,-51,1,1.4521
1.42,-50,146.63,-50,0,0.43461
1.44,-50,146.65,-50,0,-0.0012197
1.46,-50,146.68,-47,-3,-5.0581
1.48,-50,146.69,-50,0,-2.1653
1.5,-50,146.71,-49,-1,-2.4109
1.52,-50,146.71,-49,-1,-2.4456
1.54,-50,146.71,-49,-1,-2.3989
1.56,-50,146.7,-49,-1,-2.3303
1.58,-50,146.68,-51,1,1.002
1.6,-50,146.65,-50,0,0.73993
1.62,-50,146.59,-50,0,0.52721
1.64,-50,146.55,-48,-2,-2.9005
1.66,-50,146.49,-48,-2,-4.3346
1.68,-50,146.46,-51,1,0.078773
1.7,-50,146.41,-49,-1,-1.2798
1.72,-50,146.39,-50,0,-0.26274
1.74,-50,146.37,-47,-3,-4.7548
1.76,-50,146.35,-51,1,-0.073754
1.78,-50,146.32,-53,3,5.2221
1.8,-50,146.3,-49,-1,0.75566
1.82,-50,146.25,-50,0,0.32818
1.84,-50,146.24,-49,-1,-1.5116
1.86,-50,146.21,-50,0,-0.63077
1.88,-50,146.2,-49,-1,-1.8461
1.9,-50,146.19,-51,1,0.94644
1.92,-50,146.19,-51,1,2.1324
1.94,-50,146.2,-51,1,2.5502
1.96,-50,146.2,-50,0,0.9913
1.98,-50,146.19,-49,-1,-1.3619
2,-50,146.19,-49,-1,-2.3233
2.02,-50,146.18,-49,-1,-2.6297
2.04,-50,146.18,-50,0,-1.0179
2.06,-50,146.2,-50,0,-0.27481
2.08,-50,146.21,-48,-2,-3.2301
2.1,-50,146.22,-47,-3,-6.0748
2.12,-50,146.22,-47,-3,-7.1231
2.14,-50,146.21,-48,-2,-5.7236
2.16,-50,146.16,-50,0,-1.7013
2.18,-50,146.13,-49,-1,-1.6145
2.2,-50,146.06,-50,0,-0.023607
2.22,-50,146.02,-51,1,2.1863
2.24,-50,145.89,-51,1,2.9641
2.26,-50,145.82,-50,0,1.4686
2.28,-50,145.71,-50,0,0.69518
2.3,-50,145.64,-50,0,0.30554
2.32,-50,145.59,-52,2,3.3832
2.34,-50,145.58,-49,-1,-0.28624
2.36,-50,145.6,-51,1,1.3733
2.38,-50,145.62,-52,2,3.7165
2.4,-50,145.66,-50,0,1.3627
2.42,-50,145.68,-49,-1,-1.3361
2.44,-50,145.72,-52,2,2.4743
2.46,-50,145.73,-51,1,2.4809
2.48,-50,145.77,-51,1,2.4184
2.5,-50,145.79,-51,1,2.341
2.52,-50,145.83,-50,0,0.63725
2.54,-50,145.85,-50,0,-0.078057
2.56,-50,145.89,-51,1,1.3103
2.58,-50,145.92,-50,0,0.29916
2.6,-50,145.94,-49,-1,-1.7461
2.62,-50,145.99,-51,1,0.73168
2.64,-50,146.02,-50,0,0.20529
2.66,-50,146.04,-50,0,-0.017054
2.68,-50,146.07,-50,0,-0.09437
2.7,-50,146.08,-49,-1,-1.7405
2.72,-50,146.09,-49,-1,-2.3867
2.74,-50,146.09,-50,0,-0.93613
2.76,-50,146.08,-52,2,3.0027
2.78,-50,146.07,-50,0,1.3375
2.8,-50,146.06,-51,1,2.1575
2.82,-50,146.05,-49,-1,-0.82726
2.84,-50,146.03,-48,-2,-3.7349
2.86,-50,146.02,-49,-1,-3.2148
2.88,-50,146.01,-51,1,0.42155
2.9,-50,146.02,-49,-1,-1.2715
2.92,-50,146.03,-50,0,-0.37629
2.94,-50,146.03,-50,0,0.0062134
2.96,-50,146.02,-50,0,0.14292
2.98,-50,146,-50,0,0.16927
3,-50,145.95,-52,2,3.4185
3.02,-50,145.93,-48,-2,-1.8282
3.04,-50,145.89,-49,-1,-2.4553
3.06,-50,145.88,-50,0,-0.98683
3.08,-50,145.87,-48,-2,-3.5671
3.1,-50,145.87,-51,1,0.3108
3.12,-50,145.87,-51,1,1.9892
3.14,-50,145.87,-49,-1,-0.65959
3.16,-50,145.85,-51,1,1.4271
3.18,-50,145.83,-52,2,3.9155
3.2,-50,145.8,-49,-1,-0.051272
3.22,-50,145.78,-49,-1,-1.8032
3.24,-50,145.77,-49,-1,-2.4774
3.26,-50,145.77,-50,0,-1.0224
3.28,-50,145.79,-52,2,2.9318
3.3,-50,145.81,-47,-3,-3.6167
3.32,-50,145.83,-50,0,-1.4915
3.34,-50,145.84,-52,2,2.7791
3.36,-50,145.83,-49,-1,-0.36427
3.38,-50,145.82,-50,0,-0.13625
3.4,-50,145.79,-51,1,1.601
3.42,-50,145.77,-51,1,2.3024
3.44,-50,145.74,-50,0,0.88513
3.46,-50,145.73,-49,-1,-1.4001
3.48,-50,145.73,-49,-1,-2.3308
3.5,-50,145.73,-50,0,-0.99163
3.52,-50,145.76,-50,0,-0.35086
3.54,-50,145.77,-49,-1,-1.6974
3.56,-50,145.79,-49,-1,-2.2427
3.58,-50,145.8,-48,-2,-4.0456
3.6,-50,145.79,-52,2,1.8221
3.62,-50,145.78,-48,-2,-2.2265
3.64,-50,145.74,-49,-1,-2.3585
3.66,-50,145.72,-47,-3,-5.6276
3.68,-50,145.67,-51,1,-0.36661
3.7,-50,145.64,-52,2,3.5515
3.72,-50,145.57,-50,0,1.7911
3.74,-50,145.54,-50,0,0.87076
3.76,-50,145.47,-52,2,3.6669
3.78,-50,145.42,-50,0,1.4842
3.8,-50,145.38,-51,1,2.0943
3.82,-50,145.37,-50,0,0.67755
3.84,-50,145.38,-51,1,1.6925
3.86,-50,145.4,-51,1,2.1192
3.88,-50,145.45,-50,0,0.63236
3.9,-50,145.48,-51,1,1.6293
3.92,-50,145.54,-52,2,3.693
3.94,-50,145.56,-50,0,1.2424
3.96,-50,145.61,-52,2,3.4282
3.98,-50,145.64,-53,3,5.9641
4,-50,145.69,-50,0,2.0188
4.02,-50,145.71,-50,0,0.27547
4.04,-50,145.78,-50,0,-0.3962
4.06,-50,145.81,-49,-1,-2.208
4.08,-50,145.89,-49,-1,-2.839
4.1,-50,145.93,-49,-1,-2.944
4.12,-50,146.03,-51,1,0.42393
4.14,-50,146.06,-52,2,3.534
4.16,-50,146.1,-52,2,4.7524
4.18,-50,146.1,-50,0,1.8279
4.2,-50,146.07,-50,0,0.48267
4.22,-50,146.05,-49,-1,-1.7123
4.24,-50,146.02,-50,0,-0.92714
4.26,-50,146.03,-49,-1,-2.1296
4.28,-50,146.06,-50,0,-0.92036
4.3,-50,146.08,-51,1,1.2956
4.32,-50,146.13,-49,-1,-1.0487
4.34,-50,146.14,-50,0,-0.4235
4.36,-50,146.14,-50,0,-0.13067
4.38,-50,146.12,-49,-1,-1.6377
4.4,-50,146.1,-49,-1,-2.2503
4.42,-50,146.09,-49,-1,-2.4429
4.44,-50,146.07,-50,0,-0.82
4.46,-50,146.07,-52,2,3.1622
4.48,-50,146.05,-49,-1,-0.14618
4.5,-50,146.04,-50,0,-0.012488
4.52,-50,146,-49,-1,-1.5958
4.54,-50,145.99,-50,0,-0.60909
4.56,-50,145.96,-50,0,-0.15643
4.58,-50,145.95,-51,1,1.665
4.6,-50,145.95,-52,2,4.0197
4.62,-50,145.95,-50,0,1.6216
4.64,-50,145.95,-50,0,0.49886
4.66,-50,145.95,-49,-1,-1.6186
4.68,-50,145.96,-51,1,0.81287
4.7,-50,145.97,-50,0,0.2568
4.72,-50,146,-48,-2,-3.2513
4.74,-50,146.01,-50,0,-1.3913
4.76,-50,146.04,-49,-1,-2.1325
4.78,-50,146.06,-50,0,-0.75682
4.8,-50,146.06,-49,-1,-1.7739
4.82,-50,146.06,-49,-1,-2.1883
4.84,-50,146.04,-50,0,-0.686
4.86,-50,146.02,-47,-3,-4.9356
4.88,-50,145.98,-49,-1,-3.4052
4.9,-50,145.96,-50,0,-1.0081
4.92,-50,145.91,-48,-2,-3.2506
4.94,-50,145.88,-49,-1,-2.5686
4.96,-50,145.82,-49,-1,-2.2441
4.98,-50,145.77,-48,-2,-3.7338
5,-50,145.69,-51,1,0.56345
5.02,-50,145.65,-49,-1,-0.91444
5.04,-50,145.56,-50,0,0.0011576
5.06,-50,145.52,-49,-1,-1.3028
5.08,-50,145.45,-50,0,-0.26246
5.1,-50,145.42,-50,0,0.15406
5.12,-50,145.35,-51,1,1.9128
5.14,-50,145.32,-51,1,2.5719
5.16,-50,145.28,-49,-1,-0.53702
5.18,-50,145.26,-51,1,1.3644
5.2,-50,145.25,-48,-2,-2.7375
5.22,-50,145.25,-51,1,0.45986
5.24,-50,145.26,-49,-1,-1.3974
5.26,-50,145.27,-50,0,-0.54109
5.28,-50,145.3,-51,1,1.4872
5.3,-50,145.31,-49,-1,-0.95535
5.32,-50,145.33,-51,1,1.2529
5.34,-50,145.33,-50,0,0.54611
5.36,-50,145.33,-47,-3,-4.6959
5.38,-50,145.33,-51,1,-0.29431
5.4,-50,145.32,-48,-2,-3.2308
5.42,-50,145.32,-51,1,0.46508
5.44,-50,145.31,-51,1,2.0532
5.46,-50,145.3,-50,0,0.99514
5.48,-50,145.28,-48,-2,-2.8118
5.5,-50,145.27,-51,1,0.50365
5.52,-50,145.24,-49,-1,-1.3181
5.54,-50,145.23,-49,-1,-2.0951
5.56,-50,145.22,-50,0,-0.73828
5.58,-50,145.22,-51,1,1.5017
5.6,-50,145.22,-49,-1,-0.86691
5.62,-50,145.22,-53,3,4.6206
5.64,-50,145.21,-47,-3,-2.9473
5.66,-50,145.21,-51,1,0.33714
5.68,-50,145.19,-50,0,0.16429
5.7,-50,145.19,-49,-1,-1.5576
5.72,-50,145.2,-49,-1,-2.2604
5.74,-50,145.21,-50,0,-0.85036
5.76,-50,145.25,-49,-1,-1.8401
5.78,-50,145.26,-50,0,-0.60066
5.8,-50,145.27,-50,0,-0.05836
5.82,-50,145.26,-53,3,5.0464
5.84,-50,145.24,-50,0,2.1727
5.86,-50,145.22,-50,0,0.79054
5.88,-50,145.19,-51,1,1.7999
5.9,-50,145.18,-51,1,2.2073
5.92,-50,145.18,-51,1,2.3329
5.94,-50,145.2,-49,-1,-0.92988
5.96,-50,145.25,-51,1,0.97903
5.98,-50,145.29,-49,-1,-1.4251
6,-50,145.35,-52,2,2.5055
